customer_id,first_name,last_name,email,gender,birth_date,age_band,city,country,signup_date,acquisition_channel,is_loyalty_member
12381,Customer,12381,cust12381@anonymised.invalid,,,Unknown,Norway,Norway,2011-08-12,Online Export,0
12383,Customer,12383,cust12383@anonymised.invalid,,,Unknown,Belgium,Belgium,2010-12-22,Online Export,1
12384,Customer,12384,cust12384@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2011-08-10,Online Export,0
12385,Customer,12385,cust12385@anonymised.invalid,,,Unknown,Belgium,Belgium,2010-11-25,Online Export,0
12386,Customer,12386,cust12386@anonymised.invalid,,,Unknown,Australia,Australia,2010-12-08,Online Export,0
12387,Customer,12387,cust12387@anonymised.invalid,,,Unknown,Australia,Australia,2010-10-20,Online Export,0
12388,Customer,12388,cust12388@anonymised.invalid,,,Unknown,Australia,Australia,2010-05-06,Online Export,1
12389,Customer,12389,cust12389@anonymised.invalid,,,Unknown,Australia,Australia,2010-02-22,Online Export,1
12390,Customer,12390,cust12390@anonymised.invalid,,,Unknown,Belgium,Belgium,2011-09-21,Online Export,0
12391,Customer,12391,cust12391@anonymised.invalid,,,Unknown,Cyprus,Cyprus,2010-02-15,Online Export,1
12392,Customer,12392,cust12392@anonymised.invalid,,,Unknown,Australia,Australia,2010-04-27,Online Export,0
12393,Customer,12393,cust12393@anonymised.invalid,,,Unknown,Australia,Australia,2010-10-07,Online Export,1
12394,Customer,12394,cust12394@anonymised.invalid,,,Unknown,Belgium,Belgium,2011-05-06,Online Export,0
12395,Customer,12395,cust12395@anonymised.invalid,,,Unknown,Belgium,Belgium,2010-04-16,Online Export,1
12396,Customer,12396,cust12396@anonymised.invalid,,,Unknown,RSA,RSA,2010-02-03,Online Export,0
12397,Customer,12397,cust12397@anonymised.invalid,,,Unknown,Belgium,Belgium,2011-07-27,Online Export,0
12398,Customer,12398,cust12398@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2011-10-25,Online Export,0
12399,Customer,12399,cust12399@anonymised.invalid,,,Unknown,Belgium,Belgium,2010-03-05,Online Export,1
12400,Customer,12400,cust12400@anonymised.invalid,,,Unknown,Australia,Australia,2010-10-21,Online Export,0
12401,Customer,12401,cust12401@anonymised.invalid,,,Unknown,Belgium,Belgium,2011-02-09,Online Export,0
12402,Customer,12402,cust12402@anonymised.invalid,,,Unknown,Belgium,Belgium,2010-02-07,Online Export,1
12403,Customer,12403,cust12403@anonymised.invalid,,,Unknown,Denmark,Denmark,2010-07-06,Online Export,0
12405,Customer,12405,cust12405@anonymised.invalid,,,Unknown,Finland,Finland,2011-07-14,Online Export,0
12406,Customer,12406,cust12406@anonymised.invalid,,,Unknown,Denmark,Denmark,2010-01-11,Online Export,1
12407,Customer,12407,cust12407@anonymised.invalid,,,Unknown,Belgium,Belgium,2011-03-20,Online Export,1
12408,Customer,12408,cust12408@anonymised.invalid,,,Unknown,Belgium,Belgium,2010-07-29,Online Export,1
12409,Customer,12409,cust12409@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2010-05-23,Online Export,1
12410,Customer,12410,cust12410@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2010-07-25,Online Export,1
12411,Customer,12411,cust12411@anonymised.invalid,,,Unknown,Australia,Australia,2010-10-26,Online Export,0
12412,Customer,12412,cust12412@anonymised.invalid,,,Unknown,Denmark,Denmark,2010-06-18,Online Export,1
12413,Customer,12413,cust12413@anonymised.invalid,,,Unknown,France,France,2010-11-02,Online Export,1
12414,Customer,12414,cust12414@anonymised.invalid,,,Unknown,Austria,Austria,2010-09-02,Online Export,1
12415,Customer,12415,cust12415@anonymised.invalid,,,Unknown,Australia,Australia,2010-06-30,Online Export,1
12416,Customer,12416,cust12416@anonymised.invalid,,,Unknown,Australia,Australia,2010-02-21,Online Export,0
12417,Customer,12417,cust12417@anonymised.invalid,,,Unknown,Belgium,Belgium,2009-12-06,Online Export,1
12418,Customer,12418,cust12418@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2010-03-19,Online Export,1
12419,Customer,12419,cust12419@anonymised.invalid,,,Unknown,Spain,Spain,2010-10-22,Online Export,0
12420,Customer,12420,cust12420@anonymised.invalid,,,Unknown,Cyprus,Cyprus,2011-10-07,Online Export,0
12421,Customer,12421,cust12421@anonymised.invalid,,,Unknown,Spain,Spain,2010-07-22,Online Export,1
12422,Customer,12422,cust12422@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2009-12-18,Online Export,1
12423,Customer,12423,cust12423@anonymised.invalid,,,Unknown,Belgium,Belgium,2010-08-31,Online Export,1
12424,Customer,12424,cust12424@anonymised.invalid,,,Unknown,Australia,Australia,2009-12-07,Online Export,1
12425,Customer,12425,cust12425@anonymised.invalid,,,Unknown,Portugal,Portugal,2010-09-17,Online Export,0
12426,Customer,12426,cust12426@anonymised.invalid,,,Unknown,Germany,Germany,2010-02-15,Online Export,0
12427,Customer,12427,cust12427@anonymised.invalid,,,Unknown,Germany,Germany,2010-12-03,Online Export,1
12428,Customer,12428,cust12428@anonymised.invalid,,,Unknown,Finland,Finland,2011-03-01,Online Export,1
12429,Customer,12429,cust12429@anonymised.invalid,,,Unknown,Denmark,Denmark,2010-06-11,Online Export,1
12430,Customer,12430,cust12430@anonymised.invalid,,,Unknown,Norway,Norway,2011-10-27,Online Export,0
12431,Customer,12431,cust12431@anonymised.invalid,,,Unknown,Australia,Australia,2010-01-15,Online Export,1
12432,Customer,12432,cust12432@anonymised.invalid,,,Unknown,Norway,Norway,2011-06-20,Online Export,1
12433,Customer,12433,cust12433@anonymised.invalid,,,Unknown,Norway,Norway,2010-08-20,Online Export,1
12434,Customer,12434,cust12434@anonymised.invalid,,,Unknown,Australia,Australia,2010-11-23,Online Export,1
12435,Customer,12435,cust12435@anonymised.invalid,,,Unknown,Denmark,Denmark,2009-12-02,Online Export,1
12436,Customer,12436,cust12436@anonymised.invalid,,,Unknown,Norway,Norway,2011-09-01,Online Export,0
12437,Customer,12437,cust12437@anonymised.invalid,,,Unknown,France,France,2009-12-02,Online Export,1
12438,Customer,12438,cust12438@anonymised.invalid,,,Unknown,Norway,Norway,2011-07-22,Online Export,0
12439,Customer,12439,cust12439@anonymised.invalid,,,Unknown,Cyprus,Cyprus,2009-12-14,Online Export,0
12440,Customer,12440,cust12440@anonymised.invalid,,,Unknown,Austria,Austria,2009-12-22,Online Export,0
12441,Customer,12441,cust12441@anonymised.invalid,,,Unknown,France,France,2010-12-08,Online Export,0
12443,Customer,12443,cust12443@anonymised.invalid,,,Unknown,Norway,Norway,2009-12-07,Online Export,0
12444,Customer,12444,cust12444@anonymised.invalid,,,Unknown,Norway,Norway,2011-06-21,Online Export,1
12445,Customer,12445,cust12445@anonymised.invalid,,,Unknown,Spain,Spain,2010-10-15,Online Export,0
12446,Customer,12446,cust12446@anonymised.invalid,,,Unknown,RSA,RSA,2011-10-13,Online Export,0
12447,Customer,12447,cust12447@anonymised.invalid,,,Unknown,Belgium,Belgium,2011-04-10,Online Export,0
12448,Customer,12448,cust12448@anonymised.invalid,,,Unknown,Spain,Spain,2011-10-26,Online Export,0
12449,Customer,12449,cust12449@anonymised.invalid,,,Unknown,Belgium,Belgium,2010-09-27,Online Export,1
12450,Customer,12450,cust12450@anonymised.invalid,,,Unknown,Spain,Spain,2010-08-22,Online Export,1
12451,Customer,12451,cust12451@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2010-06-28,Online Export,1
12452,Customer,12452,cust12452@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2011-11-23,Online Export,0
12453,Customer,12453,cust12453@anonymised.invalid,,,Unknown,Austria,Austria,2011-07-28,Online Export,0
12454,Customer,12454,cust12454@anonymised.invalid,,,Unknown,Spain,Spain,2010-10-14,Online Export,1
12455,Customer,12455,cust12455@anonymised.invalid,,,Unknown,Cyprus,Cyprus,2009-12-18,Online Export,1
12456,Customer,12456,cust12456@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2011-03-30,Online Export,1
12457,Customer,12457,cust12457@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2010-09-30,Online Export,1
12458,Customer,12458,cust12458@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2010-08-09,Online Export,1
12459,Customer,12459,cust12459@anonymised.invalid,,,Unknown,Spain,Spain,2010-04-13,Online Export,0
12460,Customer,12460,cust12460@anonymised.invalid,,,Unknown,Belgium,Belgium,2010-09-09,Online Export,0
12461,Customer,12461,cust12461@anonymised.invalid,,,Unknown,Switzerland,Switzerland,2011-07-08,Online Export,0
12462,Customer,12462,cust12462@anonymised.invalid,,,Unknown,Spain,Spain,2011-02-09,Online Export,0
12463,Customer,12463,cust12463@anonymised.invalid,,,Unknown,Belgium,Belgium,2011-04-12,Online Export,1
12464,Customer,12464,cust12464@anonymised.invalid,,,Unknown,Belgium,Belgium,2011-02-03,Online Export,1
12465,Customer,12465,cust12465@anonymised.invalid,,,Unknown,Belgium,Belgium,2011-06-23,Online Export,0
12467,Customer,12467,cust12467@anonymised.invalid,,,Unknown,USA,USA,2010-10-12,Online Export,0
12468,Customer,12468,cust12468@anonymised.invalid,,,Unknown,Germany,Germany,2010-01-19,Online Export,1
12469,Customer,12469,cust12469@anonymised.invalid,,,Unknown,Thailand,Thailand,2010-06-21,Online Export,0
12470,Customer,12470,cust12470@anonymised.invalid,,,Unknown,Unspecified,Unspecified,2010-01-19,Online Export,0
12471,Customer,12471,cust12471@anonymised.invalid,,,Unknown,Germany,Germany,2009-12-02,Online Export,1
12472,Customer,12472,cust12472@anonymised.invalid,,,Unknown,Germany,Germany,2009-12-09,Online Export,1
12473,Customer,12473,cust12473@anonymised.invalid,,,Unknown,Germany,Germany,2011-06-01,Online Export,1
12474,Customer,12474,cust12474@anonymised.invalid,,,Unknown,Germany,Germany,2010-02-11,Online Export,1
12475,Customer,12475,cust12475@anonymised.invalid,,,Unknown,Germany,Germany,2010-10-26,Online Export,0
12476,Customer,12476,cust12476@anonymised.invalid,,,Unknown,Germany,Germany,2010-07-26,Online Export,1
12477,Customer,12477,cust12477@anonymised.invalid,,,Unknown,Germany,Germany,2010-03-26,Online Export,1
12479,Customer,12479,cust12479@anonymised.invalid,,,Unknown,Germany,Germany,2011-11-28,Online Export,0
12480,Customer,12480,cust12480@anonymised.invalid,,,Unknown,Germany,Germany,2010-07-20,Online Export,1
12481,Customer,12481,cust12481@anonymised.invalid,,,Unknown,Germany,Germany,2010-04-11,Online Export,1
12482,Customer,12482,cust12482@anonymised.invalid,,,Unknown,Sweden,Sweden,2010-02-24,Online Export,1
12483,Customer,12483,cust12483@anonymised.invalid,,,Unknown,Sweden,Sweden,2010-01-31,Online Export,1
12484,Customer,12484,cust12484@anonymised.invalid,,,Unknown,Spain,Spain,2009-12-03,Online Export,1
12485,Customer,12485,cust12485@anonymised.invalid,,,Unknown,Sweden,Sweden,2010-06-28,Online Export,0
12486,Customer,12486,cust12486@anonymised.invalid,,,Unknown,Sweden,Sweden,2010-10-04,Online Export,0
12487,Customer,12487,cust12487@anonymised.invalid,,,Unknown,Sweden,Sweden,2009-12-09,Online Export,0
12488,Customer,12488,cust12488@anonymised.invalid,,,Unknown,France,France,2011-09-25,Online Export,1
12489,Customer,12489,cust12489@anonymised.invalid,,,Unknown,France,France,2011-01-07,Online Export,0
12490,Customer,12490,cust12490@anonymised.invalid,,,Unknown,France,France,2009-12-01,Online Export,1
12491,Customer,12491,cust12491@anonymised.invalid,,,Unknown,France,France,2011-11-01,Online Export,0
12492,Customer,12492,cust12492@anonymised.invalid,,,Unknown,Germany,Germany,2010-11-01,Online Export,1
12493,Customer,12493,cust12493@anonymised.invalid,,,Unknown,France,France,2011-05-26,Online Export,0
12494,Customer,12494,cust12494@anonymised.invalid,,,Unknown,France,France,2010-05-12,Online Export,1
12495,Customer,12495,cust12495@anonymised.invalid,,,Unknown,Sweden,Sweden,2010-03-09,Online Export,0
12496,Customer,12496,cust12496@anonymised.invalid,,,Unknown,Spain,Spain,2010-03-29,Online Export,0
12497,Customer,12497,cust12497@anonymised.invalid,,,Unknown,Germany,Germany,2010-03-05,Online Export,1
12498,Customer,12498,cust12498@anonymised.invalid,,,Unknown,Germany,Germany,2011-10-13,Online Export,1
12499,Customer,12499,cust12499@anonymised.invalid,,,Unknown,Germany,Germany,2010-05-28,Online Export,0
12500,Customer,12500,cust12500@anonymised.invalid,,,Unknown,Germany,Germany,2010-02-04,Online Export,1
12501,Customer,12501,cust12501@anonymised.invalid,,,Unknown,Germany,Germany,2011-01-07,Online Export,0
12502,Customer,12502,cust12502@anonymised.invalid,,,Unknown,Spain,Spain,2011-02-03,Online Export,1
12503,Customer,12503,cust12503@anonymised.invalid,,,Unknown,Spain,Spain,2010-05-04,Online Export,0
12504,Customer,12504,cust12504@anonymised.invalid,,,Unknown,Germany,Germany,2010-04-22,Online Export,1
12505,Customer,12505,cust12505@anonymised.invalid,,,Unknown,Italy,Italy,2010-10-27,Online Export,0
12506,Customer,12506,cust12506@anonymised.invalid,,,Unknown,France,France,2011-04-21,Online Export,0
12507,Customer,12507,cust12507@anonymised.invalid,,,Unknown,Spain,Spain,2010-05-04,Online Export,1
12508,Customer,12508,cust12508@anonymised.invalid,,,Unknown,France,France,2011-11-10,Online Export,0
12509,Customer,12509,cust12509@anonymised.invalid,,,Unknown,France,France,2011-02-28,Online Export,0
12510,Customer,12510,cust12510@anonymised.invalid,,,Unknown,Spain,Spain,2009-12-04,Online Export,1
12511,Customer,12511,cust12511@anonymised.invalid,,,Unknown,Greece,Greece,2010-10-07,Online Export,0
12512,Customer,12512,cust12512@anonymised.invalid,,,Unknown,Israel,Israel,2011-10-04,Online Export,0
12513,Customer,12513,cust12513@anonymised.invalid,,,Unknown,France,France,2011-08-19,Online Export,0
12514,Customer,12514,cust12514@anonymised.invalid,,,Unknown,Italy,Italy,2010-03-08,Online Export,0
12515,Customer,12515,cust12515@anonymised.invalid,,,Unknown,Italy,Italy,2010-12-21,Online Export,0
12516,Customer,12516,cust12516@anonymised.invalid,,,Unknown,Germany,Germany,2010-04-19,Online Export,1
12517,Customer,12517,cust12517@anonymised.invalid,,,Unknown,Germany,Germany,2011-06-02,Online Export,1
12518,Customer,12518,cust12518@anonymised.invalid,,,Unknown,Germany,Germany,2011-08-21,Online Export,1
12519,Customer,12519,cust12519@anonymised.invalid,,,Unknown,Germany,Germany,2010-08-20,Online Export,0
12520,Customer,12520,cust12520@anonymised.invalid,,,Unknown,Germany,Germany,2011-03-11,Online Export,1
12521,Customer,12521,cust12521@anonymised.invalid,,,Unknown,Germany,Germany,2011-07-20,Online Export,0
12522,Customer,12522,cust12522@anonymised.invalid,,,Unknown,Germany,Germany,2011-10-19,Online Export,0
12523,Customer,12523,cust12523@anonymised.invalid,,,Unknown,France,France,2009-12-02,Online Export,1
12524,Customer,12524,cust12524@anonymised.invalid,,,Unknown,Germany,Germany,2010-02-08,Online Export,1
12525,Customer,12525,cust12525@anonymised.invalid,,,Unknown,France,France,2009-12-04,Online Export,1
12526,Customer,12526,cust12526@anonymised.invalid,,,Unknown,Germany,Germany,2011-09-06,Online Export,0
12527,Customer,12527,cust12527@anonymised.invalid,,,Unknown,Germany,Germany,2010-06-28,Online Export,1
12528,Customer,12528,cust12528@anonymised.invalid,,,Unknown,Germany,Germany,2011-01-31,Online Export,1
12529,Customer,12529,cust12529@anonymised.invalid,,,Unknown,France,France,2010-06-29,Online Export,0
12530,Customer,12530,cust12530@anonymised.invalid,,,Unknown,Germany,Germany,2010-03-07,Online Export,1
12531,Customer,12531,cust12531@anonymised.invalid,,,Unknown,Germany,Germany,2010-01-22,Online Export,0
12532,Customer,12532,cust12532@anonymised.invalid,,,Unknown,France,France,2011-11-09,Online Export,0
12533,Customer,12533,cust12533@anonymised.invalid,,,Unknown,Germany,Germany,2009-12-01,Online Export,0
12534,Customer,12534,cust12534@anonymised.invalid,,,Unknown,Germany,Germany,2011-08-01,Online Export,0
12535,Customer,12535,cust12535@anonymised.invalid,,,Unknown,France,France,2011-06-06,Online Export,0
12536,Customer,12536,cust12536@anonymised.invalid,,,Unknown,France,France,2011-10-11,Online Export,0
12537,Customer,12537,cust12537@anonymised.invalid,,,Unknown,Sweden,Sweden,2010-10-27,Online Export,0
12538,Customer,12538,cust12538@anonymised.invalid,,,Unknown,Spain,Spain,2010-11-26,Online Export,0
12539,Customer,12539,cust12539@anonymised.invalid,,,Unknown,Spain,Spain,2009-12-23,Online Export,1
12540,Customer,12540,cust12540@anonymised.invalid,,,Unknown,Spain,Spain,2009-12-07,Online Export,1
12541,Customer,12541,cust12541@anonymised.invalid,,,Unknown,Spain,Spain,2011-03-04,Online Export,1
12542,Customer,12542,cust12542@anonymised.invalid,,,Unknown,Spain,Spain,2010-03-09,Online Export,0
12543,Customer,12543,cust12543@anonymised.invalid,,,Unknown,Spain,Spain,2010-09-17,Online Export,0
12544,Customer,12544,cust12544@anonymised.invalid,,,Unknown,Spain,Spain,2011-11-03,Online Export,0
12545,Customer,12545,cust12545@anonymised.invalid,,,Unknown,Spain,Spain,2011-03-25,Online Export,0
12546,Customer,12546,cust12546@anonymised.invalid,,,Unknown,Spain,Spain,2011-09-23,Online Export,0
12547,Customer,12547,cust12547@anonymised.invalid,,,Unknown,Spain,Spain,2010-07-27,Online Export,1
12548,Customer,12548,cust12548@anonymised.invalid,,,Unknown,Spain,Spain,2011-06-26,Online Export,0
12549,Customer,12549,cust12549@anonymised.invalid,,,Unknown,USA,USA,2010-01-11,Online Export,1
12550,Customer,12550,cust12550@anonymised.invalid,,,Unknown,Spain,Spain,2011-09-21,Online Export,0
12551,Customer,12551,cust12551@anonymised.invalid,,,Unknown,Spain,Spain,2010-12-17,Online Export,0
12552,Customer,12552,cust12552@anonymised.invalid,,,Unknown,Italy,Italy,2011-10-31,Online Export,0
12553,Customer,12553,cust12553@anonymised.invalid,,,Unknown,France,France,2010-10-12,Online Export,1
12554,Customer,12554,cust12554@anonymised.invalid,,,Unknown,Spain,Spain,2010-09-17,Online Export,0
12556,Customer,12556,cust12556@anonymised.invalid,,,Unknown,Spain,Spain,2011-07-11,Online Export,0
12557,Customer,12557,cust12557@anonymised.invalid,,,Unknown,Spain,Spain,2009-12-17,Online Export,1
12559,Customer,12559,cust12559@anonymised.invalid,,,Unknown,Germany,Germany,2011-01-24,Online Export,0
12560,Customer,12560,cust12560@anonymised.invalid,,,Unknown,Germany,Germany,2011-07-19,Online Export,0
12561,Customer,12561,cust12561@anonymised.invalid,,,Unknown,Germany,Germany,2011-02-10,Online Export,0
12562,Customer,12562,cust12562@anonymised.invalid,,,Unknown,France,France,2010-09-30,Online Export,1
12563,Customer,12563,cust12563@anonymised.invalid,,,Unknown,Italy,Italy,2010-10-27,Online Export,0
12564,Customer,12564,cust12564@anonymised.invalid,,,Unknown,France,France,2011-03-23,Online Export,0
12565,Customer,12565,cust12565@anonymised.invalid,,,Unknown,Saudi Arabia,Saudi Arabia,2011-02-24,Online Export,0
12566,Customer,12566,cust12566@anonymised.invalid,,,Unknown,Germany,Germany,2011-09-14,Online Export,0
12567,Customer,12567,cust12567@anonymised.invalid,,,Unknown,France,France,2010-02-11,Online Export,1
12568,Customer,12568,cust12568@anonymised.invalid,,,Unknown,Germany,Germany,2010-03-05,Online Export,0
12569,Customer,12569,cust12569@anonymised.invalid,,,Unknown,Germany,Germany,2011-04-01,Online Export,1
12571,Customer,12571,cust12571@anonymised.invalid,,,Unknown,France,France,2011-08-10,Online Export,0
12572,Customer,12572,cust12572@anonymised.invalid,,,Unknown,Germany,Germany,2011-10-19,Online Export,0
12573,Customer,12573,cust12573@anonymised.invalid,,,Unknown,France,France,2010-08-31,Online Export,1
12574,Customer,12574,cust12574@anonymised.invalid,,,Unknown,France,France,2011-01-28,Online Export,0
12575,Customer,12575,cust12575@anonymised.invalid,,,Unknown,France,France,2010-07-01,Online Export,0
12576,Customer,12576,cust12576@anonymised.invalid,,,Unknown,Poland,Poland,2010-07-01,Online Export,1
12577,Customer,12577,cust12577@anonymised.invalid,,,Unknown,France,France,2009-12-03,Online Export,1
12578,Customer,12578,cust12578@anonymised.invalid,,,Unknown,Italy,Italy,2010-09-22,Online Export,1
12579,Customer,12579,cust12579@anonymised.invalid,,,Unknown,France,France,2011-09-22,Online Export,0
12580,Customer,12580,cust12580@anonymised.invalid,,,Unknown,Germany,Germany,2010-05-12,Online Export,0
12581,Customer,12581,cust12581@anonymised.invalid,,,Unknown,Germany,Germany,2011-10-31,Online Export,0
12582,Customer,12582,cust12582@anonymised.invalid,,,Unknown,Finland,Finland,2010-05-11,Online Export,1
12583,Customer,12583,cust12583@anonymised.invalid,,,Unknown,France,France,2009-12-06,Online Export,1
12584,Customer,12584,cust12584@anonymised.invalid,,,Unknown,Italy,Italy,2011-03-04,Online Export,1
12585,Customer,12585,cust12585@anonymised.invalid,,,Unknown,Germany,Germany,2010-12-23,Online Export,0
12586,Customer,12586,cust12586@anonymised.invalid,,,Unknown,Italy,Italy,2009-12-16,Online Export,1
12588,Customer,12588,cust12588@anonymised.invalid,,,Unknown,Finland,Finland,2010-04-21,Online Export,1
12589,Customer,12589,cust12589@anonymised.invalid,,,Unknown,France,France,2010-01-19,Online Export,1
12590,Customer,12590,cust12590@anonymised.invalid,,,Unknown,Germany,Germany,2010-04-12,Online Export,0
12591,Customer,12591,cust12591@anonymised.invalid,,,Unknown,Italy,Italy,2010-10-27,Online Export,1
12592,Customer,12592,cust12592@anonymised.invalid,,,Unknown,Germany,Germany,2010-07-08,Online Export,1
12593,Customer,12593,cust12593@anonymised.invalid,,,Unknown,France,France,2011-05-05,Online Export,1
12594,Customer,12594,cust12594@anonymised.invalid,,,Unknown,Italy,Italy,2010-03-03,Online Export,1
12595,Customer,12595,cust12595@anonymised.invalid,,,Unknown,Germany,Germany,2010-07-23,Online Export,0
12596,Customer,12596,cust12596@anonymised.invalid,,,Unknown,Spain,Spain,2011-04-11,Online Export,0
12597,Customer,12597,cust12597@anonymised.invalid,,,Unknown,Spain,Spain,2011-03-16,Online Export,1
12598,Customer,12598,cust12598@anonymised.invalid,,,Unknown,France,France,2010-03-01,Online Export,1
12599,Customer,12599,cust12599@anonymised.invalid,,,Unknown,France,France,2010-05-11,Online Export,1
12600,Customer,12600,cust12600@anonymised.invalid,,,Unknown,Germany,Germany,2009-12-07,Online Export,1
12601,Customer,12601,cust12601@anonymised.invalid,,,Unknown,Germany,Germany,2010-10-31,Online Export,1
12602,Customer,12602,cust12602@anonymised.invalid,,,Unknown,France,France,2011-10-12,Online Export,0
12603,Customer,12603,cust12603@anonymised.invalid,,,Unknown,Germany,Germany,2011-11-18,Online Export,0
12604,Customer,12604,cust12604@anonymised.invalid,,,Unknown,France,France,2011-03-23,Online Export,0
12605,Customer,12605,cust12605@anonymised.invalid,,,Unknown,Germany,Germany,2010-09-07,Online Export,1
12607,Customer,12607,cust12607@anonymised.invalid,,,Unknown,USA,USA,2011-10-10,Online Export,0
12609,Customer,12609,cust12609@anonymised.invalid,,,Unknown,Germany,Germany,2009-12-20,Online Export,1
12610,Customer,12610,cust12610@anonymised.invalid,,,Unknown,Italy,Italy,2011-08-05,Online Export,1
12611,Customer,12611,cust12611@anonymised.invalid,,,Unknown,Italy,Italy,2011-10-18,Online Export,0
12612,Customer,12612,cust12612@anonymised.invalid,,,Unknown,Germany,Germany,2011-09-26,Online Export,0
12613,Customer,12613,cust12613@anonymised.invalid,,,Unknown,Germany,Germany,2009-12-14,Online Export,1
12614,Customer,12614,cust12614@anonymised.invalid,,,Unknown,Germany,Germany,2011-03-07,Online Export,0
12615,Customer,12615,cust12615@anonymised.invalid,,,Unknown,France,France,2009-12-01,Online Export,1
12616,Customer,12616,cust12616@anonymised.invalid,,,Unknown,France,France,2010-11-16,Online Export,1
12617,Customer,12617,cust12617@anonymised.invalid,,,Unknown,France,France,2011-11-10,Online Export,0
12618,Customer,12618,cust12618@anonymised.invalid,,,Unknown,Italy,Italy,2011-11-18,Online Export,0
12619,Customer,12619,cust12619@anonymised.invalid,,,Unknown,Germany,Germany,2010-05-28,Online Export,1
